id,name,instructions,category,image_url,glass,is_popular
1,A1,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Cocktail,https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Cocktail glass,false
2,Abc,Layered in a shot glass.,Shot,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Shot glass,false
3,Ace,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Cocktail,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini glass,false
4,Acid,Pour in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,Shot,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,Shot glass,false
5,At&T,"Pour Vodka and Gin over ice, add Tonic and Stir.",Cocktail,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Highball glass,false
6,Adam,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Cocktail,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Cocktail glass,false
7,A. J.,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Cocktail glass,false
8,Affair,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Highball glass,false
9,Avalon,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Cocktail,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Highball glass,false
10,Apello,Stirr. Grnish with maraschino cherry.,Other,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Collins glass,false
