ID,slug,name,short_description,long_description,seo_description,base_spirit,category_primary,categories_all,tags,image_url,image_alt,glassware,garnish,technique,difficulty,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,notes,fun_fact,fun_fact_source,metadata_json,ingredients,instructions,,,,
mw_bloody_mary_001,bloody-mary,Bloody Mary,"A restorative savory highball of vodka, tomato juice, lemon, and spices.","The Bloody Mary is a foundational savory cocktail that pairs vodka with the umami density of tomato juice and a custom spice blend. Unlike sweet sours, it relies on Worcestershire sauce, celery salt, and hot sauce for a rich, culinary profile. Lemon juice provides necessary acid to cut through the heavy texture, making it a balanced restorative drink. It is the defining cocktail of American brunch culture, allowing for significant garnish variation while maintaining its core tomato-spice structure.","Make a classic Bloody Mary with vodka, tomato juice, and savory spices for the ultimate brunch cocktail.",Vodka,Highball,classic|highball|savory|brunch,vodka|tomato|savory|spicy|brunch|restorative,,A tall Bloody Mary in a highball glass with a celery stalk and lemon wedge.,Highball glass,celery stalk|lemon wedge,Build,Easy,5,2,4,2,7,8,Roll the drink between shakers rather than shaking hard to preserve the tomato juice's texture; adjust Tabasco to taste.,"Fernand Petiot is widely credited with refining the modern Bloody Mary at the St. Regis Hotel in New York in the 1930s, adding the salt, pepper, and spices to the simpler tomato-vodka mix from Paris.",St. Regis Hotel archives; Imbibe,{},2 oz vodka|4 oz tomato juice|0.5 oz fresh lemon juice|0.25 oz Worcestershire sauce|2 dashes Tabasco sauce|2 pinches celery salt|1 pinch black pepper,1. Build all ingredients in a highball glass filled with ice. 2. Roll the drink back and forth into a shaker tin to mix without foaming. 3. Pour back into the highball glass. 4. Garnish with a celery stalk and lemon wedge.,,,,
mw_vodka_martini_001,vodka-martini,Vodka Martini,"A crystal-clear, spirit-forward mix of vodka and dry vermouth served up.","The Vodka Martini strips the botanical complexity from the gin original to focus entirely on temperature and texture. Without juniper to mask the spirit, the drink demands a clean, oily vodka and precise dilution to avoid tasting harsh. Dry vermouth adds a subtle saline character that extends the finish. It became the dominant style of Martini in American culture during the mid-20th century, favored for its neutrality and cold, crisp profile.","Stir a classic Vodka Martini with vodka and dry vermouth for a clean, spirit-forward cocktail.",Vodka,Spirit-Forward,classic|spirit-forward|martini-family|dry,vodka|vermouth|martini|dry|stirred,,A Vodka Martini in a chilled cocktail glass with a lemon twist.,Cocktail glass,lemon twist|olive,Stir,Intermediate,9,1,1,2,5,8,"Keep the vodka in the freezer for a thicker texture, but ensure you stir enough to add necessary dilution.","While often called the Kangaroo in 1950s bar manuals to distinguish it from the gin classic, the name 'Vodka Martini' eventually overtook the specific title as vodka's dominance grew.","Wondrich, Imbibe!; mid-century bar manuals",{},2.5 oz vodka|0.5 oz dry vermouth|Lemon twist or olive,1. Add vodka and dry vermouth to a mixing glass filled with ice. 2. Stir until very cold and silky. 3. Strain into a chilled cocktail glass. 4. Garnish with a lemon twist or olive.,,,,
mw_harvey_wallbanger_001,harvey-wallbanger,Harvey Wallbanger,A Screwdriver highball topped with a float of herbal Galliano L'Autentico.,"The Harvey Wallbanger adds a layer of complexity to the simple Screwdriver through a float of Galliano. The liqueur’s vanilla, anise, and herbal notes interact with the orange juice to create a profile resembling an herbal creamsicle. It was a marketing triumph in the 1970s, becoming synonymous with the era’s disco culture. The float technique provides a distinct visual separation and an evolving flavor as the drink is sipped.","Build a Harvey Wallbanger with vodka, orange juice, and a Galliano float for a 70s classic.",Vodka,Highball,classic|highball|disco-era,vodka|orange|galliano|herbal|highball,,A tall Harvey Wallbanger with a yellow body and golden float of Galliano.,Highball glass,orange slice|cherry,Build,Easy,4,6,3,2,6,5,Pour the Galliano over a bar spoon to keep it floating on top of the juice.,"The drink's mascot, a cartoon surfer, helped propel Galliano sales to become the number one imported liqueur in the U.S. during the 1970s.",Galliano brand history; PunchDrink archives,{},1.5 oz vodka|4 oz fresh orange juice|0.5 oz Galliano L'Autentico,1. Fill a highball glass with ice. 2. Add vodka and orange juice and stir to combine. 3. Float Galliano on top using the back of a spoon. 4. Garnish with an orange slice and cherry.,,,,
mw_salty_dog_001,salty-dog,Salty Dog,A tart grapefruit-vodka highball defined by a salted rim.,"The Salty Dog is essentially a Greyhound served with a salted rim, which materially changes the flavor profile. The salt suppresses the grapefruit's natural bitterness, enhancing the perception of citrus sweetness without adding sugar. While originally a gin drink, the vodka variation became standard by the mid-20th century. Built over ice, it is a cooling, savory-tart highball ideal for hot weather.","Make a Salty Dog with vodka, fresh grapefruit juice, and a salted rim.",Vodka,Highball,classic|highball|citrus|salted,vodka|grapefruit|salt|highball|savory,,A Salty Dog in a highball glass with a salted rim and pink grapefruit juice.,Highball glass,grapefruit slice|salt rim,Build,Easy,4,2,7,3,6,4,Use coarse sea salt or kosher salt for the rim; table salt is too aggressive.,"The transition from the gin-based Salty Dog to vodka mirrors the broader shift in American tastes during the 1950s, as documented in period newspapers and menus.",Newspaper archives; Imbibe,{},2 oz vodka|4 oz fresh grapefruit juice|Coarse salt for rim,1. Rim a highball glass with coarse salt. 2. Fill the glass with ice. 3. Add vodka and grapefruit juice. 4. Stir gently to combine. 5. Garnish with a grapefruit slice.,,,,
mw_vodka_gimlet_001,vodka-gimlet,Vodka Gimlet,A vodka-based variation of the classic Gimlet with sharp lime acidity.,"The Vodka Gimlet emerged as vodka gained popularity in the mid-20th century, offering a neutral alternative to the original gin-based version. Replacing gin’s botanicals with vodka shifts the focus toward bright lime acidity, resulting in a sharper, more straightforward sour. It serves as a benchmark for the quality of the lime cordial or fresh juice used. The drink is served up and icy cold, emphasizing the clean texture of the spirit.","Shake a Vodka Gimlet with vodka and lime for a crisp, clean sour.",Vodka,Sour,classic|sour|vodka|minimalist,vodka|lime|sour|classic|chilled,,A Vodka Gimlet served in a chilled coupe with a lime wheel.,Coupe,lime wheel,Shake,Easy,7,3,7,1,5,5,"If using fresh lime and simple syrup, the profile will be brighter; if using cordial, it will be rounder and more tart.","The character in Raymond Chandler's 'The Long Goodbye' famously declared that a real Gimlet is half gin and half Rose's Lime Juice, but by the book's publication, vodka was already challenging that standard.","Raymond Chandler, The Long Goodbye; Wondrich, Imbibe!",{},2 oz vodka|0.75 oz lime cordial or fresh lime juice|0.5 oz simple syrup (if using fresh juice),1. Add vodka and lime cordial (or fresh juice and syrup) to a shaker with ice. 2. Shake until well chilled. 3. Strain into a chilled coupe. 4. Garnish with a lime wheel.,,,,
mw_blue_lagoon_001,blue-lagoon,Blue Lagoon,"A vivid blue highball mixing vodka, blue curaçao, and lemonade.","The Blue Lagoon balances tart lemon with the orange sweetness of blue curaçao. Unlike many visually gimmicky drinks, it maintains a structured sour profile when made with fresh citrus. The blue curaçao provides the defining electric color and a slightly bitter orange backbone that plays against the neutral vodka. It is a mid-century European classic that predates the neon disco drinks of the 80s.","Mix a Blue Lagoon with vodka, blue curaçao, and lemon for a vibrant classic highball.",Vodka,Highball,classic|highball|citrus|visual,vodka|blue-curacao|lemon|highball|summer,,A tall Blue Lagoon with bright blue color and a lemon wheel.,Highball glass,lemon wheel,Shake,Easy,4,5,6,1,6,4,"Use fresh lemon juice and soda rather than bottled mix for a balanced, non-cloying drink.","Created by Andy MacElhone at Harry's New York Bar in Paris in 1960, the drink was designed to showcase the new blue curaçao liqueurs entering the market.",Harry's New York Bar history; PunchDrink archives,{},1.5 oz vodka|0.5 oz blue curaçao|4 oz lemonade (or 1 oz lemon juice,0.75 oz syrup,and soda),"1. Add vodka, blue curaçao, and lemonade (or lemon/syrup) to a shaker with ice. 2. Shake briefly to chill. 3. Strain into a highball glass filled with fresh ice. 4. Top with soda if using fresh juice mix. 5. Garnish with a lemon wheel.",,
mw_godmother_001,godmother,Godmother,A slow-sipping duo of vodka and amaretto served over ice.,"The Godmother softens the Scotch-based Godfather by substituting vodka, which provides a neutral canvas for the almond liqueur. This shift allows the amaretto’s marzipan and stone-fruit notes to dominate the palate without competition from grain or peat. It is a quintessential after-dinner drink from the 1970s era of two-ingredient cocktails. Served on the rocks, it evolves from sweet and viscous to mellow and diluted.",Stir a Godmother with vodka and amaretto for a smooth almond-forward sipper.,Vodka,Spirit-Forward,classic|spirit-forward|dessert|duo,vodka|amaretto|stirred|after-dinner|easy,,A Godmother in a rocks glass over a large ice cube.,Old-fashioned glass,orange peel (optional),Stir,Easy,7,5,1,1,6,7,Use a high-proof vodka to cut through the sugar of the amaretto.,"The Godmother became popular in the 1970s alongside other 'criminal' named drinks like the Godfather and French Connection, fueled by the era's taste for sweet liqueurs.",Imbibe; PunchDrink archives,{},2 oz vodka|0.5 oz amaretto,1. Add vodka and amaretto to a mixing glass with ice. 2. Stir until chilled. 3. Strain into a rocks glass over fresh ice. 4. Garnish with an orange peel if desired.,,,,
mw_madras_001,madras,Madras,"A refreshing highball blending vodka, cranberry juice, and orange juice.","The Madras sits between the Cape Codder and the Screwdriver, using orange juice to temper the tartness of cranberry. The result is a balanced, fruit-forward highball with a vibrant coral hue. It became a staple of American bar menus in the 1980s alongside the Sea Breeze and Bay Breeze. Built over ice, it requires no shaking and relies on the quality of the juices for its flavor.","Build a Madras with vodka, cranberry, and orange juice for a fruity highball.",Vodka,Highball,classic|highball|fruit|summer,vodka|cranberry|orange|highball|easy,,A Madras in a highball glass showing a coral-red color and lime wedge.,Highball glass,lime wedge,Build,Easy,3,5,5,1,6,3,Adjust the ratio of orange to cranberry to shift the balance from tart to sweet.,"The Madras is part of the 'Cape Codder' family of cranberry highballs that dominated 1980s cocktail culture, popularized by cranberry grower marketing.",PunchDrink archives; Imbibe,{},1.5 oz vodka|3 oz cranberry juice|1 oz fresh orange juice,"1. Fill a highball glass with ice. 2. Add vodka, cranberry juice, and orange juice. 3. Stir gently to combine. 4. Garnish with a lime wedge.",,,,
mw_bull_shot_001,bull-shot,Bull Shot,"A savory, broth-based cocktail combining vodka and beef consommé.","The Bull Shot is a savory cocktail that functions as a cold soup or restorative draught, popular in mid-century country clubs. It amplifies the umami of beef bouillon with Worcestershire sauce, lemon, and hot sauce, similar to a Bloody Mary but lighter in texture. Traditionally served over ice or hot in a mug, it offers a distinct salty, meaty profile. It remains a cult favorite for its nutritional density and savory depth.","Make a Bull Shot with vodka and beef bouillon for a savory, umami-rich drink.",Vodka,Savory,classic|savory|restorative|mid-century,vodka|beef-bouillon|savory|umami|brunch,,A Bull Shot in a rocks glass with a lemon wedge and black pepper.,Old-fashioned glass,lemon wedge|black pepper,Build,Easy,5,1,2,1,7,4,Use a high-quality beef bone broth or consommé rather than bouillon cubes for a cleaner texture.,The drink originated at Detroit's Caucus Club in the 1950s and was heavily marketed by Campbell's Soup as a way to use their beef broth.,Caucus Club history; Campbell's Soup archives,{},2 oz vodka|4 oz chilled beef bouillon or consommé|0.5 oz fresh lemon juice|2 dashes Worcestershire sauce|2 dashes Tabasco sauce|Pinch black pepper,"1. Fill a rocks glass with ice. 2. Add vodka, bouillon, lemon, Worcestershire, and Tabasco. 3. Stir gently to combine. 4. Grind fresh black pepper on top and garnish with a lemon wedge.",,,,
mw_caipiroska_001,caipiroska,Caipiroska,A vodka riff on the Caipirinha with muddled lime and sugar.,"The Caipiroska adapts the Brazilian Caipirinha template by swapping grassy cachaça for neutral vodka. This modification places the emphasis entirely on the oils released from muddling fresh lime wedges with sugar. It gained immense popularity in South America and Europe as a cleaner, more accessible alternative to the rustic original. The drink is built directly in the glass, retaining the muddled fruit for visual appeal and aroma.","Muddle a Caipiroska with vodka, lime wedges, and sugar for a bright tropical sour.",Vodka,Sour,modern-classic|sour|tropical|muddled,vodka|lime|sugar|brazilian-riff|summer,,A Caipiroska in a rocks glass filled with crushed ice and muddled limes.,Old-fashioned glass,lime wedge,Build,Easy,6,4,7,2,8,6,"Muddle the limes skin-side down to release oils, but do not pulverize the pith to avoid bitterness.","While the Caipirinha is protected by Brazilian law as a cachaça drink, the vodka-based Caipiroska became a global phenomenon in the 2000s, often outselling the original in Europe.",Brazilian spirits trade history; Difford's Guide,{},2 oz vodka|1 lime (cut into wedges)|2 tsp superfine sugar,1. Place lime wedges and sugar in a rocks glass. 2. Muddle firmly to release juice and oils. 3. Fill the glass with crushed ice. 4. Add vodka and stir well to dissolve sugar and chill. 5. Top with more ice if needed.,,,,
