ID,slug,name,short_description,long_description,seo_description,base_spirit,category_primary,categories_all,tags,image_url,image_alt,glassware,garnish,technique,difficulty,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,notes,fun_fact,fun_fact_source,metadata_json,ingredients,instructions
,alaska,Alaska,"A pre-Prohibition stirred cocktail combining gin with yellow Chartreuse for a herbal, warming profile.",{},Learn how to make an Alaska cocktail with gin and yellow Chartreuse,Gin,Spirit-forward,Spirit-forward|Stirred|Pre-Prohibition,gin|chartreuse|orange bitters|stirred|cold weather,a classic pre-Prohibition stirred drink.,,Chilled coupe,Orange twist,stirred,moderate,"Alaska cocktail served in a chilled coupe, pale yellow-green in color, garnished with orange twist.",7,3,2,5,8,"The Alaska first appeared in Hugo Ensslin's 1917 Recipes for Mixed Drinks, making it one of the earliest Chartreuse cocktails in American bartending literature. Combining London dry gin's botanicals with yellow Chartreuse's honeyed herbal complexity creates a bracing, warming drink that became associated with colder climates despite its name. The drink predates Alaska's statehood and the origin of its name remains unclear, though some suggest it references the drink's perceived warming qualities.","Use a quality London dry gin; the botanical profile should complement rather than compete with the Chartreuse. Some modern versions increase the Chartreuse ratio slightly, though the original proportions balance well.","The Alaska first appeared in Hugo Ensslin's 1917 Recipes for Mixed Drinks, one of the few pre-Prohibition cocktail books to survive Prohibition.",5,2 oz gin|0.75 oz yellow Chartreuse|2 dashes orange bitters,Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe.
,bijou,Bijou,"A pre-Prohibition equal-parts cocktail combining gin, sweet vermouth, and green Chartreuse for a complex herbal profile.",9,Learn how to make a Bijou cocktail with gin,Gin,Spirit-forward,Spirit-forward|Stirred|Pre-Prohibition,gin|chartreuse|vermouth|orange bitters|stirred|equal parts,sweet vermouth,and green Chartreuse,Chilled coupe,Orange twist,stirred,moderate,a classic equal-parts pre-Prohibition drink.,,"Bijou cocktail served in a chilled coupe, amber-green in color, garnished with orange twist.",8,5,2,5,{},"The Bijou first appeared in Harry Johnson's 1900 Bartenders' Manual, making it one of the earliest equal-parts cocktails in American bartending. The name, French for 'jewel,' refers to the drink's three-colored appearance representing diamond, ruby, and emerald when properly prepared. Combining gin's botanicals with sweet vermouth's wine complexity and green Chartreuse's intense herbal character creates a complex, aromatic drink that showcases the evolution of American cocktail culture at the turn of the 20th century.",6,1.5 oz gin|1.5 oz sweet vermouth|1.5 oz green Chartreuse|2 dashes orange bitters,Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe or Nick & Nora glass.
,bobby-burns,Bobby Burns,"A Manhattan variation using Scotch whisky instead of rye or bourbon, with a touch of Bénédictine for herbal complexity.",7,Learn how to make a Bobby Burns cocktail with Scotch whisky,Scotch,Spirit-forward,Spirit-forward|Stirred|Manhattan Family,scotch|vermouth|benedictine|orange bitters|stirred|robert burns,sweet vermouth,and Bénédictine,Chilled coupe,Lemon twist,stirred,moderate,a classic Manhattan variation.,,"Bobby Burns cocktail served in a chilled coupe, amber-brown in color, garnished with lemon twist.",8,4,2,5,{},"The Bobby Burns emerged in the early 20th century as Scotch whisky gained popularity in American bars, offering a variation on the Manhattan structure with peat and grain complexity. The name honors Scottish poet Robert Burns, and the drink typically includes a small measure of Bénédictine, which adds herbal sweetness without overwhelming the whisky. This variation showcases how base spirit substitution can fundamentally alter a cocktail family while maintaining structural integrity.",5,2 oz Scotch whisky|1 oz sweet vermouth|0.25 oz Bénédictine|2 dashes orange bitters,Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe or Nick & Nora glass.
,champs-elysees,Champs-Élysées,"A Sidecar variation from the 1920s that substitutes yellow Chartreuse for orange liqueur, creating a herbal-citrus profile.",7,Learn how to make a Champs-Élysées cocktail with Cognac,Cognac,Sour,Sour|Sidecar Family,cognac|chartreuse|lemon|shaken|french,yellow Chartreuse,and lemon juice,Chilled coupe,Lemon twist,shaken,moderate,a classic 1920s Sidecar variation.,,"Champs-Élysées cocktail served in a chilled coupe, pale golden in color, garnished with lemon twist.",7,4,6,5,{},"The Champs-Élysées first appeared in Harry MacElhone's 1923 ABC of Mixing Cocktails, representing the era's experimentation with liqueur substitutions in classic sour structures. Replacing the Sidecar's orange liqueur with yellow Chartreuse shifts the drink from bright citrus to herbal complexity, while maintaining the Cognac's richness. The name references the famous Parisian avenue, reflecting both the drink's French ingredients and the cosmopolitan cocktail culture of the 1920s.",4,2 oz Cognac|0.75 oz yellow Chartreuse|0.75 oz fresh lemon juice|1 teaspoon simple syrup|2 dashes Angostura bitters,Pour all ingredients into a shaker with ice. Shake until well chilled. Strain into a chilled coupe.
,el-diablo,El Diablo,"A tequila-based mule variation that combines crème de cassis with ginger beer for a fruity, spicy profile.",2,Learn how to make an El Diablo cocktail with tequila,Tequila,Highball,Highball|Mule Family|Tequila Cocktail,tequila|creme de cassis|lime|ginger beer|built|mexican,crème de cassis,lime juice,Highball glass,Lime wedge,built,easy,and ginger beer,a classic mule variation.,,"El Diablo cocktail served in a highball glass over ice, deep red-purple in color, garnished with lime wedge.",6,5,6,5,{},6,2 oz tequila|0.75 oz crème de cassis|0.75 oz fresh lime juice|4 oz ginger beer,"Build tequila, crème de cassis, and lime juice in a highball glass filled with ice. Top with ginger beer. Stir gently."
,fancy-free,Fancy Free,An Old Fashioned variation that replaces simple syrup with maraschino liqueur for subtle cherry-almond sweetness.,7,Learn how to make a Fancy Free cocktail with bourbon,Bourbon,Spirit-forward,Spirit-forward|Stirred|Old Fashioned Family,bourbon|maraschino|orange bitters|angostura bitters|stirred|old fashioned,maraschino liqueur,and bitters,Rocks glass,Orange twist,stirred,moderate,a classic Old Fashioned variation.,,"Fancy Free cocktail served in a rocks glass over a large ice cube, amber in color, garnished with orange twist.",8,4,2,5,{},"The Fancy Free first appeared in David Embury's 1948 Fine Art of Mixing Drinks, representing mid-20th century experimentation with liqueur substitutions in the Old Fashioned structure. Replacing simple syrup with maraschino liqueur adds subtle cherry and almond notes while maintaining the drink's spirit-forward character. The name suggests a carefree approach to cocktail modification, reflecting Embury's systematic exploration of cocktail families.",6,2 oz bourbon|0.5 oz maraschino liqueur|2 dashes orange bitters|2 dashes Angostura bitters,Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a rocks glass over a large ice cube.
,floridita-daiquiri,Floridita Daiquiri,"The signature daiquiri variation from Havana's El Floridita bar, combining lime and grapefruit with a touch of maraschino.",2,Learn how to make a Floridita Daiquiri with white rum,Rum,Sour,Sour|Daiquiri Family|Havana,rum|maraschino|lime|grapefruit|shaken|cuban,lime juice,grapefruit juice,Chilled coupe,None,shaken,moderate,and maraschino liqueur,the signature drink from Havana's famous bar.,,"Floridita Daiquiri served in a chilled coupe, pale yellow in color, no garnish.",7,4,6,5,{},7,2 oz white rum|0.5 oz fresh lime juice|0.5 oz fresh grapefruit juice|0.5 oz simple syrup|0.25 oz maraschino liqueur,Pour all ingredients into a shaker with ice. Shake until well chilled. Strain into a chilled coupe.
,gin-rickey,Gin Rickey,"A classic highball combining gin with fresh lime juice and club soda, lighter than a Collins due to the absence of sugar.",5,Learn how to make a Gin Rickey with gin,Gin,Highball,Highball|Collins Family|Rickey Family,gin|lime|club soda|built|low-proof,fresh lime juice,and club soda,Highball glass,Lime wedge,built,easy,a classic unsweetened highball from the 1890s.,,"Gin Rickey served in a highball glass over ice, clear with pale green tint, garnished with lime wedge.",5,2,6,4,{},"The Rickey was invented at Shoemaker's bar in Washington, D.C. in the 1890s, originally made with bourbon for lobbyist Colonel Joe Rickey. The gin version became more popular during Prohibition, when gin was more readily available than quality whiskey. The drink's defining characteristic is its lack of sweetener, making it drier and more refreshing than a Collins, with the lime providing all necessary acidity.",2,2 oz gin|0.75 oz fresh lime juice|4 oz club soda,Build gin and lime juice in a highball glass filled with ice. Top with club soda. Stir gently.
,improved-whiskey-cocktail,Improved Whiskey Cocktail,A 19th-century enhancement of the whiskey cocktail that adds maraschino liqueur and absinthe for additional complexity.,7,Learn how to make an Improved Whiskey Cocktail with rye whiskey,Rye,Spirit-forward,Spirit-forward|Stirred|Old Fashioned Family|Improved,rye|maraschino|absinthe|angostura bitters|peychauds bitters|stirred,maraschino liqueur,absinthe,Chilled coupe,Lemon twist,stirred,moderate,and bitters,a classic 19th-century variation.,,"Improved Whiskey Cocktail served in a chilled coupe, amber in color, garnished with lemon twist.",8,4,8,5,{},2,2 oz rye whiskey|1 barspoon simple syrup|2 dashes Angostura bitters|2 dashes Peychaud's bitters|0.25 oz maraschino liqueur|0.25 oz absinthe,Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe or rocks glass over a large ice cube.
,little-italy,Little Italy,"A Manhattan variation from the 1960s that substitutes Cynar for half the vermouth, creating a bitter, herbal profile.",8,Learn how to make a Little Italy cocktail with rye whiskey,Rye,Spirit-forward,Spirit-forward|Stirred|Manhattan Family|Amaro,rye|cynar|vermouth|angostura bitters|stirred|bitter,Cynar,and sweet vermouth,Rocks glass,Orange twist,stirred,moderate,a classic bitter Manhattan variation.,,"Little Italy cocktail served in a rocks glass over a large ice cube, dark amber-brown in color, garnished with orange twist.",8,3,2,5,{},"The Little Italy emerged in the 1960s as amaro gained popularity in American cocktail culture, representing a regional variation on the Manhattan structure. Combining Cynar's artichoke and herbal bitterness with sweet vermouth creates a complex, layered drink that maintains the Manhattan's spirit-forward character while introducing Italian amaro tradition. The name references the Italian-American communities where such variations likely originated.",7,2 oz rye whiskey|1 oz Cynar|1 oz sweet vermouth|2 dashes Angostura bitters,Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a rocks glass over a large ice cube.
